24-06-2021,\Islamabad_,N)1, 650 L5i.t0re0,in1605.00,1605.00
17-06-2021,\Islamabad_,N)1, 54 L0i.t0re0,in1540.00,1540.00
10-06-2021,\Islamabad_,),1 55 4L0itr.0e0,in 1540.00,1540.0
03-06-2021,\Islamabad_,),1 55 4L0itr.0e0,in 1540.00,1540.0
27-05-2021,\Islamabad_,),1 55 4L0itr.0e0,in 1540.00,1540.0
20-05-2021,\Islamabad_,),1 55 4L0itr.0e0,in 1540.00,1540.0
06-05-2021,\Islamabad_,),1 55 4L0itr.0e0,in 1540.00,1540.0
29-04-2021,\Islamabad_,N)1, 554 L0i.t0re0,in1540.00,1540.00
22-04-2021,\Islamabad_,),1 55 4L0itr.0e0,in 1540.00,1540.0
15-04-2021,\Islamabad_,N)1, 54 L0i.t0re0,in1540.00,1540.00
08-04-2021,\Islamabad_,N)1, 54 L0i.t0re0,in1540.00,1540.00
01-04-2021,\Islamabad_,),1 55 4L0itr.0e0,in 1540.00,1540.0
25-03-2021,\Islamabad_,),1 55 4L0itr.0e0,in 1540.00,1540.0
18-03-2021,\Islamabad_,),1 54 9L5itr.0e0,in 1495.00,1495.0
11-03-2021,\Islamabad_,N)1, 459 L5i.t0re0,in1495.00,1495.00
04-03-2021,\Islamabad_,1)4, 955 L.0itr0,T1i4n95.00,1495.00
25-02-2021,\Islamabad_,N)1, 459 L5i.t0re0,in1495.00,1495.00
18-02-2021,\Islamabad_,),1 54 9L5itr.0e0,in 1495.00,1495.0
11-02-2021,\Islamabad_,N)1, 459 L5i.t0re0,Tin1495.00,1495.00
04-02-2021,\Islamabad_,),1 54 9L5itr.0e0,in 1495.00,1495.0
28-01-2021,\Islamabad_,)1,4 59 5L.it0r0e,Ti1n495.00,1495.00
21-01-2021,\Islamabad_,re1 T35in5.00,1355.00,1355.0
14-01-2021,\Islamabad_,or1 O35th5e.0r 0,im1il3a5r 5B.0ra0,d 1(S35N5).,0 50
07-01-2021,\Islamabad_,N)1, 355 L5i.t0re0,in1355.00,1355.00
31-12-2020,\Islamabad_,),1 53 5L5it.r0e0,in1355.00,1355.0
24-12-2020,\Islamabad_,N)1,2 59 5L.it0r0e,Ti1n295.00,1295.00
17-12-2020,\Islamabad_,),1 52 9L5itr.0e0,in 1295.00,1295.0
10-12-2020,\Islamabad_,N)1, 259 L5i.t0re0,in1295.00,1295.00
03-12-2020,\Islamabad_,N)1, 256 L5i.t0re0,in1265.00,1265.00
26-11-2020,\Islamabad_,),1 52 6L5itr.0e0,in 1265.00,1265.0
19-11-2020,\Islamabad_,N1)2, 655 L.0it0r,1T2in65.00,1265.00
12-11-2020,\Islamabad_,N)1, 256 L5i.t0re0,in1265.00,1265.00
